config,prediction,count,input
naive_bayes_raw,sqli,2,modo=registro&login=katzenel&password=0al5nis5%24a&nombre=Petunia&apellidos=Mingo+Elbaile&email=buchlmann_lanning%40decoaching.bu&dni=83729647X&direccion=Universitat+De+Girona+164+&ciudad=Anaya&cp=19223&provincia=Valencia&ntc=1175544449251083&B1=Registrar
naive_bayes_raw,sqli,2,modo=registro&login=minai&password=12i9o1&nombre=Arsacio&apellidos=Bomb%ED+Mundaca&email=trlesault%40ajuntamentdebcn2-0.ve&dni=72248212Z&direccion=C%2F+Las+Vinadas%2C+26%2C+5%3FG&ciudad=Vilanova+del+Cam%ED&cp=03579&provincia=Lleida&ntc=9412852577617017&B1=Registrar
naive_bayes_normalized,sqli,2,id=1&nombre=Jam%F3n+Ib%E9rico&precio=100&cantidad=0&B1=A%F1adir+al+carrito
naive_bayes_normalized,sqli,2,id=1&nombre=Vino+Rioja&precio=39&cantidad=0&B1=A%F1adir+al+carrito
naive_bayes_normalized,sqli,2,id=1&nombre=Vino+Rioja&precio=85&cantidad=0&B1=A%F1adir+al+carrito
naive_bayes_normalized,sqli,2,modo=entrar&login=aggi&pwd=0a3%213i7an0e&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=aideen&pwd=22s281t9l21O&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=aldo&pwd=1nfe327da9&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=ambrosiu&pwd=1SofI2O&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=awan&pwd=1rus71ce1&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=bernie&pwd=9ep5en5r18&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=betteann&pwd=%2B6sc4p9c8n5&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=boccali&pwd=0uS2eNsori1&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=campo&pwd=0L*anQ687oL9&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=colquitt&pwd=1-amb7j&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=diju&pwd=4xtr3ord1na0io&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=edgar&pwd=1i7ard7&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=elonore&pwd=1a06arr%F3n&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=errol&pwd=1u822n&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=fogle&pwd=6f5nc67i7n1o&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=fowler-h&pwd=0isi%F33&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=gammage&pwd=422R0CE5a8E67&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=goldner&pwd=3988p5e1t4&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=hippert&pwd=1uitame4te&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=jiri0&pwd=c2lt9b%E90i1o&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=khimasia&pwd=1i23u78&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=kjeld&pwd=6n8675ri0lism2&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=korry0&pwd=7o449n2ill5&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=kozuch&pwd=166gart0j0&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=krogh&pwd=0raS0ASAdora&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=lopez&pwd=33ta08o0ner5&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=louk&pwd=83a%3F9t0lada&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=marcy&pwd=0Iz6i5i628a&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=marsha&pwd=1v4lad6&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=mckeague&pwd=0es75G1r5Mi12to&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=melosa&pwd=5Err4B16o0&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=nambride&pwd=1ojizo&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=neddie&pwd=0a392ne40&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=neibauer&pwd=10R5C1no&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=nickolai0&pwd=9co33le1i2nado&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=patches7&pwd=0u993d2r&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=plssup&pwd=0i7d841&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=popcorn&pwd=1OB5ETenD1N&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=rafaello&pwd=1cefal405o&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=rybczyns&pwd=0ub5e243217a&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=rygwalsk&pwd=80u5rru9ca0&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=sharma&pwd=9e6ch1&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=talbot&pwd=10e9n4d4r&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=tesh6&pwd=05490pa9%CD1&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=vikas&pwd=0O4%3Fa9%D3n&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=welten&pwd=1am2o233E29&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=yaung&pwd=1es85l73a2&remember=off&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=yoonjung1&pwd=0o7te6d90a&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=entrar&login=yoshiaki&pwd=0je7265r06&remember=on&B1=Entrar
naive_bayes_normalized,sqli,2,modo=registro&login=fantauzz&password=foyO&nombre=Vicente&apellidos=D%27Aloia+Leon&email=sues%40dub%E1i.ki&dni=75114987T&direccion=Calle+Virgen+De+Jerusalen+137+13E&ciudad=Collbat%F3&cp=28191&provincia=Baleares+%28Illes%29&ntc=5423262464059277&B1=Registrar
naive_bayes_normalized,sqli,2,modo=registro&login=kaleena2&password=542apr0v5c4a00en10&nombre=Abd%EDas&apellidos=Rosa%27s+Mas%F3&email=comron%40lapasteleria.mv&dni=94595262B&direccion=C%2F+Robaleira+127+10H&ciudad=Vadocondes&cp=02130&provincia=Burgos&ntc=5562571550548928&B1=Registrar
naive_bayes_normalized,sqli,2,modo=registro&login=katzenel&password=0al5nis5%24a&nombre=Petunia&apellidos=Mingo+Elbaile&email=buchlmann_lanning%40decoaching.bu&dni=83729647X&direccion=Universitat+De+Girona+164+&ciudad=Anaya&cp=19223&provincia=Valencia&ntc=1175544449251083&B1=Registrar
naive_bayes_normalized,sqli,2,modo=registro&login=minai&password=12i9o1&nombre=Arsacio&apellidos=Bomb%ED+Mundaca&email=trlesault%40ajuntamentdebcn2-0.ve&dni=72248212Z&direccion=C%2F+Las+Vinadas%2C+26%2C+5%3FG&ciudad=Vilanova+del+Cam%ED&cp=03579&provincia=Lleida&ntc=9412852577617017&B1=Registrar
naive_bayes_normalized,sqli,2,modo=registro&login=padiou&password=bot%EDn&nombre=Gisella&apellidos=Torrebadella&email=margolin-ullmann%40andropit.no&dni=64841759K&direccion=Bellver%2C+4%2C+11%3FA&ciudad=Vandell%F2s+i+l%27Hospitalet+de+l%27Infant&cp=46170&provincia=Girona&ntc=9917801099618736&B1=Registrar
naive_bayes_normalized,sqli,2,modo=registro&login=pietrek&password=95l5zn5b10&nombre=Alom%EDas&apellidos=Valor+Agudo&email=kriuchkov%40hosterialasmajadillas.cat&dni=11402138A&direccion=Barberan+y+Collar%2C+106+3-C&ciudad=Borred%E0&cp=42225&provincia=Girona&ntc=1442974784880841&B1=Registrar
svm_raw,sqli,20000,
svm_normalized,sqli,20000,
